prefix,destination,rate_per_minute
49150,Germany Mobile,0.020000
49151,Germany Mobile,0.020000
49152,Germany Mobile,0.020000
49153,Germany Mobile,0.020000
49154,Germany Mobile,0.020000
49155,Germany Mobile,0.020000
49156,Germany Mobile,0.020000
49157,Germany Mobile,0.020000
49158,Germany Mobile,0.020000
49159,Germany Mobile,0.020000
49160,Germany Mobile,0.020000
49162,Germany Mobile,0.020000
49163,Germany Mobile,0.020000
49170,Germany Mobile,0.020000
49171,Germany Mobile,0.020000
49172,Germany Mobile,0.020000
49173,Germany Mobile,0.020000
49174,Germany Mobile,0.020000
49175,Germany Mobile,0.020000
49176,Germany Mobile,0.020000
49177,Germany Mobile,0.020000
49178,Germany Mobile,0.020000
49179,Germany Mobile,0.020000
490,Germany Fixed,0.012000
4900,Germany Fixed,0.012000
4901,Germany Fixed,0.012000
4902,Germany Fixed,0.012000
4903,Germany Fixed,0.012000
4904,Germany Fixed,0.012000
4905,Germany Fixed,0.012000
4906,Germany Fixed,0.012000
4907,Germany Fixed,0.012000
4908,Germany Fixed,0.012000
4909,Germany Fixed,0.012000
4920,Germany Fixed,0.012000
4921,Germany Fixed,0.012000
4922,Germany Fixed,0.012000
4923,Germany Fixed,0.012000
4924,Germany Fixed,0.012000
4925,Germany Fixed,0.012000
4926,Germany Fixed,0.012000
4927,Germany Fixed,0.012000
4928,Germany Fixed,0.012000
4929,Germany Fixed,0.012000
4930,Germany Fixed,0.012000
4931,Germany Fixed,0.012000
4932,Germany Fixed,0.012000
4933,Germany Fixed,0.012000
4934,Germany Fixed,0.012000
4935,Germany Fixed,0.012000
4936,Germany Fixed,0.012000
4937,Germany Fixed,0.012000
4938,Germany Fixed,0.012000
4939,Germany Fixed,0.012000
4940,Germany Fixed,0.012000
4941,Germany Fixed,0.012000
4942,Germany Fixed,0.012000
4943,Germany Fixed,0.012000
4944,Germany Fixed,0.012000
4945,Germany Fixed,0.012000
4946,Germany Fixed,0.012000
4947,Germany Fixed,0.012000
4948,Germany Fixed,0.012000
4949,Germany Fixed,0.012000
4950,Germany Fixed,0.012000
4951,Germany Fixed,0.012000
4952,Germany Fixed,0.012000
4953,Germany Fixed,0.012000
4954,Germany Fixed,0.012000
4955,Germany Fixed,0.012000
4956,Germany Fixed,0.012000
4957,Germany Fixed,0.012000
4958,Germany Fixed,0.012000
4959,Germany Fixed,0.012000
4960,Germany Fixed,0.012000
4961,Germany Fixed,0.012000
4962,Germany Fixed,0.012000
4963,Germany Fixed,0.012000
4964,Germany Fixed,0.012000
4965,Germany Fixed,0.012000
4966,Germany Fixed,0.012000
4967,Germany Fixed,0.012000
4968,Germany Fixed,0.012000
4969,Germany Fixed,0.012000
4970,Germany Fixed,0.012000
4971,Germany Fixed,0.012000
4972,Germany Fixed,0.012000
4973,Germany Fixed,0.012000
4974,Germany Fixed,0.012000
4975,Germany Fixed,0.012000
4976,Germany Fixed,0.012000
4977,Germany Fixed,0.012000
4978,Germany Fixed,0.012000
4979,Germany Fixed,0.012000
4980,Germany Fixed,0.012000
4981,Germany Fixed,0.012000
4982,Germany Fixed,0.012000
4983,Germany Fixed,0.012000
4984,Germany Fixed,0.012000
4985,Germany Fixed,0.012000
4986,Germany Fixed,0.012000
4987,Germany Fixed,0.012000
4988,Germany Fixed,0.012000
4989,Germany Fixed,0.012000
4990,Germany Fixed,0.012000
4991,Germany Fixed,0.012000
4992,Germany Fixed,0.012000
4993,Germany Fixed,0.012000
4994,Germany Fixed,0.012000
4995,Germany Fixed,0.012000
4996,Germany Fixed,0.012000
4997,Germany Fixed,0.012000
4998,Germany Fixed,0.012000
4999,Germany Fixed,0.012000
