prefix,destination,rate_per_minute
4366,Austria Mobile,0.025000
4367,Austria Mobile,0.025000
4368,Austria Mobile,0.025000
4369,Austria Mobile,0.025000
4312,Austria Fixed,0.015000
4313,Austria Fixed,0.015000
4314,Austria Fixed,0.015000
4315,Austria Fixed,0.015000
4316,Austria Fixed,0.015000
4317,Austria Fixed,0.015000
4318,Austria Fixed,0.015000
4319,Austria Fixed,0.015000
4321,Austria Fixed,0.015000
4322,Austria Fixed,0.015000
4323,Austria Fixed,0.015000
4325,Austria Fixed,0.015000
4326,Austria Fixed,0.015000
4327,Austria Fixed,0.015000
4328,Austria Fixed,0.015000
4331,Austria Fixed,0.015000
4333,Austria Fixed,0.015000
4334,Austria Fixed,0.015000
4335,Austria Fixed,0.015000
4336,Austria Fixed,0.015000
4337,Austria Fixed,0.015000
4338,Austria Fixed,0.015000
4339,Austria Fixed,0.015000
4341,Austria Fixed,0.015000
4342,Austria Fixed,0.015000
4343,Austria Fixed,0.015000
4345,Austria Fixed,0.015000
4346,Austria Fixed,0.015000
4347,Austria Fixed,0.015000
4348,Austria Fixed,0.015000
4350,Austria Fixed,0.015000
4351,Austria Fixed,0.015000
4352,Austria Fixed,0.015000
4353,Austria Fixed,0.015000
4354,Austria Fixed,0.015000
4355,Austria Fixed,0.015000
4357,Austria Fixed,0.015000
4365,Austria Fixed,0.015000
4370,Austria Fixed,0.015000
4372,Austria Fixed,0.015000
4373,Austria Fixed,0.015000
4374,Austria Fixed,0.015000
4376,Austria Fixed,0.015000
4377,Austria Fixed,0.015000
4378,Austria Fixed,0.015000
4379,Austria Fixed,0.015000
